Transaction Description,Type,Category,Amount ($)
Bank credit7 from office paycheck,Income,Salary,8220.01
Received tenant payment,Income,Rent Income,1633.44
Payment to makemytrip,Expense,Travel,620.55
Paid hulU via caRD,Expense,Subscriptions,358.73
fiVeRR paymEnt deposit ReCeived,Income,Freelance,872.56
CreditE0d from AmAzon refunD,Income,Refunds,1640.49
paypal refund credited to account,Income,Refunds,3899.76
pg&e bill charge,Expense,Utilities,272.89
Payment to subway,Expense,Restaurants,675.07
Received upork payout,Income,Freelance,6577.93
Purchase at hospital,Expense,Health & Medical,927.9
disney plus transaction,Expense,Subscriptions,638.84
grubhub charge,Expense,Restaurants,812.04
walgreens - order #4558,Expense,Health & Medical,113.31
PayMent to sHell oil,Expense,Transportation,832.86
Payment to city water,Expense,Utilities,494.18
booking.com monthly bill,Expense,Travel,352.39
t-mobile transaction,Expense,Utilities,487.87
Credited from monthly salary,Income,Salary,4965.84
Payment to trader joe,Expense,Groceries,810.38
bp gas charge,Expense,Transportation,590.92
tRADEr joe MoNthly BiLl,Expense,Groceries,207.31
bank interest credited to account,Income,Interest/Dividends,4453.67
Paid netflix via card,Expense,Subscriptions,109.09
Payment received: birthday gift money,Income,Gift/Bonus,3621.78
Paid spectrum via card,Expense,Utilities,863.16
mynTra Monthly bill,Expense,Shopping,342.73
ReCeiveD bIrthdAy giFT monEy,Income,Gift/Bonus,9810.64
PurchAse at best bUy,Expense,Shopping,143.19
Payment received: customer payment,Income,Business Revenue,5003.67
Income via tenant payment,Income,Rent Income,2795.32
hospital charge,Expense,Health & Medical,39.71
amazon.com - order #9183,Expense,Shopping,784.02
Payment received: fd interest,Income,Interest/Dividends,475.49
lyft ride charge,Expense,Transportation,726.58
Purchase at bp gas,Expense,Transportation,249.2
walmarT GrOcery traNSaCtiOn,Expense,Groceries,652.3
myntra transaction,Expense,Shopping,796.84
parking garage transaction,Expense,Transportation,673.29
grubhub charge,Expense,Restaurants,492.59
Bank credit from festival bonus,Income,Gift/Bonus,5655.96
walgreens charge,Expense,Health & Medical,617.29
Payment to disney plus,Expense,Subscriptions,333.13
PAId sUbWAY ViA cARd,Expense,Restaurants,323.29
urgent care monthly bill,Expense,Health & Medical,77.12
stock dividend credited to account,Income,Investments,8209.56
cLIEnt transfEr deposit rEceiVed,Income,Freelance,702.65
Payment received: freelance gig,Income,Freelance,6038.83
store deposit credited to account,Income,Business Revenue,4066.19
Incomevia dividend credit,Income,Interest/Dividends,9952.56
CRediTe from offiCe paychecK,Income,Salary,9392.24
Rceived cash prize,Income,Gift/Bonus,6104.77
Payment receiVeD: frEeLaNce GiG,Income,Freelance,7479.07
Paid spectrum via card,Expense,Utilities,969.16
Purchase at bp gas,Expense,Transportation,615.23
Income via monthly salary,Income,Salary,9673.45
Credited from cash prize,Income,Gift/Bonus,8533.69
fiverr payment deposit received,Income,Freelance,4955.33
kfc monthly bill,Expense,Restaurants,308.55
pg&e bill transaction,Expense,Utilities,875.78
Bank credit from shop revenue,Income,Business Revenue,6436.68
monthly salary credited to account,Income,Salary,8593.87
Paid ubereats via card,Expense,Restaurants,840.16
apple music charge,Expense,Subscriptions,930.68
Paid amazon prime via card,Expense,Subscriptions,422.41
Credited from shop revenue,Income,Business Revenue,2801.95
PayMEnt ReCeived: stOcK DIvIdenD,Income,Investments,9572.99
Paid chevron via card,Expense,Transportation,307.69
cvs pharmacy monthly bill,Expense,Health & Medical,941.42
INcoMe via ofFicE paychecK,Income,Salary,544.68
tenant payment credited to account,Income,Rent Income,2856.23
aldi monthly bill,Expense,Groceries,491.74
air@bnb transaction,Expense,Travel,565.79
BanK creDit from STORE dePosiT,Income,Business Revenue,441.42
starbucks charge,Expense,Restaurants,367.86
Paid urgent care via card,Expense,Health & Medical,992.27
Received holiday reward,Income,Gift/Bonus,4050.54
PayMEnT REceiVEd: shAre sale prOFiT,Income,Investments,8470.86
Paid uber trip via card,Expense,Transportation,172.7
Bank credit from credit card cashback,Income,Refunds,4392.48
Payment received: stock dividend,Income,Investments,6248.64
birthday gift money deposit received,Income,Gift/Bonus,1036.31
ReCEived HolidA9y rEwaRd,Income,Gift/Bonus,9435.56
cvs pharmacy monthly bill,Expense,Health & Medical,439.55
walgreens monthly bill,Expense,Health & Medical,754.84
tripadvisor charge,Expense,Travel,352.89
LyfT ride montHlY bill,Expense,Transportation,163.73
PayMeNt to myNtrA,Expense,Shopping,375.89
Payment to ebay,Expense,Shopping,265.32
Income via cl0ient transfer,Income,Freelance,5396.69
ReCeIved nse reTurN,Income,Investments,285.65
Credited from client transfer,Income,Freelance,8307.13
upwork payout credited to account,Income,Freelance,2365.03
Bank credit from bank refund,Income,Refunds,9999.25
Paid gruBhub ViA caRd,Expense,Restaurants,891.03
Income via festival bonus,Income,Gift/Bonus,5415.7
share sale profit credited to account,Income,Investments,2396.75
Credited from upwork payout,Income,Freelance,5945.91
Payment received: performance bonus,Income,Gift/Bonus,1521.87
CredIted 8frOm fd inTeReSt,Income,Interest/Dividends,9838.34
indigo - order #1274,Expense,Travel,762.17
Income via investment return,Income,Interest/Dividends,5064.74
BaNK credit fROm Credit carD casHback,Income,Refunds,3200.75
Credited from festival bonus,Income,Gift/Bonus,3561.95
Bank credit from crypto gain,Income,Investments,6088.45
b2b invoice payment deposit received,Income,Business Revenue,6363.82
Income via performance bonus,Income,Gift/Bonus,8246.5
tripadvisor monthly bill,Expense,Travel,917.22
Payment received: client transfer,Income,Freelance,7459.72
Income via tenant payment,Income,Rent Income,9146.75
Payment to kroger,Expense,Groceries,755.64
Bank credit from fd interest,Income,Interest/Dividends,7105.27
Income via house rent,Income,Rent Income,4945.7
Purchase at electric co-op,Expense,Utilities,158.61
Credited from monthly salary,Income,Salary,4266.11
Payment received: office lease income,Income,Rent Income,5577.59
Paid kroger via card,Expense,Groceries,945.32
Bank credit from customer payment,Income,Business Revenue,8928.54
Bank credit from hous rent,Income,Rent Income,6696.12
amazon Refund Credited tO accoUnT,Income,Refunds,1128.25
youtube premium transaction,Expense,Subscriptions,549.99
upwork payout deposit received,Income,Freelance,7873.86
PaYMent reCEivED: b2B invoICe payment,Income,Business Revenue,9005.4
meijer charg9e,Expense,Groceries,508.43
subway - order #5668,Expense,Restaurants,988.39
Income via birthday gift money,Income,Gift/Bonus,3783.14
REceiVeD b2B InvOice payment,Income,Business Revenue,2232.56
safeway monthly bill,Expense,Groceries,291.76
PaYMent to ELeCtric cO-op,Expense,Utilities,576.08
spotify monthly bill,Expense,Subscriptions,594.85
Income via office lease income,Income,Rent Income,9651.02
store return refund credited to account,Income,Refunds,728.41
Payment received: online sale,Income,Business Revenue,1807.18
Purchase at electric co-op,Expense,Utilities,90.0
Credited from customer payment,Income,Business Revenue,7265.13
mcdonald charge,Expense,Restaurants,658.06
Purchase at apple music,Expense,Subscriptions,695.25
makemytrip monthly bill,Expense,Travel,730.77
Paid trader jo1e via card,Expense,Groceries,368.79
Purchase at city water,Expense,Utilities,726.14
Payment to kfc,Expense,Restaurants,870.86
Payment recei0ved: contract project payment,Income,Freelance,8186.54
Bank credit from share sale pr4ofit,Income,Investments,4049.86
Ban4k credit from paypal refund,Income,Refunds,4586.12
Bank credit from office paycheck,Income,Salary,3889.37
PUrchaSe aT WAlmarT grOCery,Expense,Groceries,987.95
nEtfliX moNThlY bill,Expense,Subscriptions,227.96
cr1ypto gain credited to account,Income,Investments,5430.38
verizon monthly bill,Expense,Utilities,281.01
Credited from paypal refund,Income,Refunds,2214.17
Paid lyft ride via card,Expense,Transportation,38.71
birthday gift money credited to account,Income,Gift/Bonus,1864.35
Purchase at kroger,Expense,Groceries,166.27
Payment to youtube premium,Expense,Subscriptions,213.95
PURChasE At aLdi,Expense,Groceries,621.47
UBer TrIp transacTion,Expense,Transportation,103.85
Purchase at kfc,Expense,Restaurants,391.7
uber trip transaction,Expense,Transportation,563.01
PAymenT recIVEd: CompaNy paYrOll,Income,Salary,6321.41
Credited from office lease income,Income,Rent Income,5887.94
Purchase at flipkart,Expense,Shopping,931.55
disney plus transaction,Expense,Subscriptions,425.92
In@come ia holiday reward,Income,Gift/Bonus,5781.23
Bank credit from corporate payment,Income,Salary,2586.81
BurgEr king - order #2478,Expense,Restaurants,917.47
BANk credit from SAre SAle profit,Income,Investments,6538.91
amazon prime monthly bill,Expense,Subscriptions,259.92
fd interest deposit received,Income,Interest/Dividends,3515.88
hospital charge,Expense,Health & Medical,251.4
Credited from FReeLancE giG,Income,Freelance,2164.99
Payment received: property lease payment,Income,Rent Income,9895.56
PaYment tO LyFt RiDe,Expense,Transportation,664.29
Received mutual fund profit,Income,Investments,9845.24
Received dividend credit,Income,Interest/Dividends,6466.16
macys monthly bill,Expense,Shopping,492.89
Purchse at lyft ride,Expense,Transportation,637.66
aMazoN pRime monTHLy bilL,Expense,Subscriptions,535.42
Payment to burger king,Expense,Restaurants,157.96
Credited from client transfer,Income,Freelance,160.38
meijer charge,Expense,Groceries,269.69
Purchase at electric co-op,Expense,Utilities,267.74
Purchase at tripadvisor,Expense,Travel,28.36
ReCEIvEd Bank ReFUnD,Income,Refunds,6540.31
fiveRr pAYment CredITED tO accOUnt,Income,Freelance,3271.84
Purchase at hospital,Expense,Health & Medical,78.29
trader joe charge,Expense,Groceries,760.22
Income via credit card cashback,Income,Refunds,719.94
Income via performance bonus,Income,Gift/Bonus,752.05
electric co-op t7ransaction,Expense,Utilities,606.75
bp gas transaction,Expense,Transportation,100.14
Credited from performance bonus,Income,Gift/Bonus,8602.15
Credited from office lease income,Income,Rent Income,5102.8
Credited from corporate payment,Income,Salary,2945.73
oyo rooms charge,Expense,Travel,725.26
urgent care - order #5200,Expense,Health & Medical,902.82
mcdonald charge,Expense,Restaurants,986.5
macys monthly bill,Expense,Shopping,321.45
meijer - order #3843,Expense,Groceries,389.61
Bank credit from contract project payment,Income,Freelance,6861.05
Income via mutual fund profit,Income,Investments,5280.22
sHAr Sale profiT crediTeD to AccOUnt,Income,Investments,7417.69
Purchase at spotify,Expense,Subscriptions,976.99
starbucks - order #97754,Expense,Restaurants,390.78
house rent credited to account,Income,Rent Income,6362.37
shell oil monthly bill,Expense,Transportation,148.91
shell oil transaction,Expense,Transportation,994.64
Bank CrEdIt from amAzon reFund,Income,Refunds,4055.52
Received tnant payment,Income,Rent Income,3266.32
Paid chevron via card,Expense,Transportation,637.78
Payment to city water,Expense,Utilities,753.64
Paid amazon.com via card,Expense,Shopping,581.47
stock dividend deposit received,Income,Investments,1172.1
fesTivaL boNuS cReDITEd to aCCouNT,Income,Gift/Bonus,207.18
Payment received: tenant payment,Income,Rent Income,6392.48
tripAdvIsoR moNthly bill,Expense,Travel,143.29
Purchase at booking.com,Expense,Travel,647.64
best buy transaction,Expense,Shopping,536.88
#investment return credited to account,Income,Interest/Dividends,5316.49
hulu - order #6357,Expense,Subscriptions,646.34
Payment to chevron,Expense,Transportation,650.79
Credited frm tenant payment,Income,Rent Income,2346.22
urgent care transaction,Expense,Health & Medical,943.12
Received fiverr payment,Income,Freelance,7195.32
parking garage transaction,Expense,Transportation,315.4
shell oil monthly bill,Expense,Transportation,553.95
urgent care charge,Expense,Health & Medical,6.75
ebay transaction,Expense,Shopping,198.94
Paid subway via card,Expense,Restaurants,808.55
fiverr payment deposit received,Income,Freelance,1486.63
performance bonus credited to account,Income,Gift/Bonus,8708.51
Payment to makemytrip,Expense,Travel,167.92
Paid lyft ride via card,Expense,Transportation,920.31
Income via stock dividend,Income,Investments,1449.09
Purchase at spotify,Expense,Subscriptions,257.91
Paym#ENT to AldI,Expense,Groceries,760.7
Income via upwork payout,Income,Freelance,4942.96
amazon.com transaction,Expense,Shopping,492.12
Payment to hospital,Expense,Health & Medical,23.15
Received customer payment,Income,Business Revenue,4038.35
C5redited from company payroll,Income,Salary,5805.94
pg&e BILl mOntHlY BIll,Expense,Utilities,480.54
disney plus - order #7734,Expense,Subscriptions,693.51
Purchase at tripadvisor,Expense,Travel,917.06
Credited from credit card cashback,Income,Refunds,3269.08
Payment to gym mem1bership,Expense,Health & Medical,551.28
walmart grocery charge,Expense,Groceries,727.84
aldi - order #8936,Expense,Groceries,160.24
PayMent receIveD: UpwORk p1aYout,Income,Freelance,3825.53
Received company payroll,Income,Salary,4696.43
PaYMent to safEway,Expense,Groceries,530.85
Purchase at hulu,Expense,Subscriptions,203.76
walmart monthly bill,Expense,Shopping,388.94
Payment to cvs pharmacy,Expense,Health & Medical,536.18
PuRchAse at ELeCtric co-4oP,Expense,Utilities,356.22
Credited from amazon refund,Income,Refunds,3248.85
Paid burger king via card,Expense,Restaurants,907.18
Credited from online sale,Income,Business Revenue,6195.18
online sale depos5it received,Income,Business Revenue,6948.34
gym membership monthly bill,Expense,Health & Medical,684.74
Payment to publix,Expense,Groceries,715.86
stock dividend credited to account,Income,Investments,3905.46
cvs pharmacy charge,Expense,Health & Medical,678.57
Received performance bonus,Income,Gift/Bonus,9535.95
Credited from stock dividend,Income,Investments,1796.75
Purchase at ai5rbnb,Expense,Travel,706.86
trader joe charge,Expense,Groceries,137.11
hoSpiTAl trANSacTioN,Expense,Health & Medical,773.68
Purchase at uber trip,Expense,Transportation,680.77
Income via house rent,Income,Rent Income,4069.18
Payment received: holiday reward,Income,Gift/Bonus,7460.51
PurchaSe At CitY waTer,Expense,Utilities,544.98
Payment to amazon prime,Expense,Subscriptions,766.29
REceiVed cLient tRanSFEr,Income,Freelance,9818.89
Payment received: festival bonus,Income,Gift/Bonus,3236.2
Payment received: share sale profit,Income,Investments,1549.44
flipkart - order #2031,Expense,Shopping,841.87
customer payment dePOsit recEivE4d,Income,Business Revenue,1154.49
Credited from fiverr payment,Income,Freelance,4880.85
meijer charge,Expense,Groceries,447.35
office lease income deposit received,Income,Rent Income,3182.84
Received bir8thday gift money,Income,Gift/Bonus,9145.12
Income via mu7tual fund profit,Income,Investments,7390.04
TrIpADviSor MOntHly BIlL,Expense,Travel,493.12
Purchase at safeway,Expense,Groceries,761.08
CReDiteD FRom amazOn REfund,Income,Refunds,2268.92
PaiD amAzOn priMe Via Card,Expense,Subscriptions,636.72
uber trip monthly bill,Expense,Transportation,33.02
Payment to kfc,Expense,Restaurants,875.83
flipkart monthly bill,Expense,Shopping,554.1
Payment to urgent care,Expense,Health & Medical,197.6
